epoch,i,loss
1,0,1.443079948425293
1,0,1.4237809740767187
1,0,1.408729309938392
1,0,1.3937097714871776
2,0,1.3827454094984093
2,0,1.3808470721147499
2,0,1.368826445268125
2,0,1.366937325925243
3,0,1.3645915985107422
3,0,1.3631557445136868
3,0,1.361281847467228
3,0,1.352468619541246
4,0,1.3438980336091957
4,0,1.3211534631495574
4,0,1.2724052205377696
4,0,1.2000164596401914
5,0,1.1550047847689415
5,0,1.1426175905733693
5,0,1.1006885511534554
5,0,1.08481314839149
6,0,1.0748017624932893
6,0,1.0546763478493204
6,0,1.0338533800475451
6,0,0.9823730004077055
7,0,1.0098677508685054
7,0,0.9809958204931143
7,0,0.9169681339847798
7,0,0.9040982577265525
8,0,0.8811125512025795
8,0,0.8948790686471122
8,0,0.8604921406629135
8,0,0.8630085696979445
9,0,0.9412617683410645
9,0,0.8463042937979406
9,0,0.8186555614276808
9,0,0.8048826820996343
10,0,0.8672028013638088
10,0,0.7641010673678651
10,0,0.774279500756945
10,0,0.7533183876349001
11,0,0.7687325988497052
11,0,0.709208358307274
11,0,0.7278683319383737
11,0,0.6969100662640163
12,0,0.8412011253590487
12,0,0.6997003336342014
12,0,0.69004382162678
12,0,0.688528450167909
13,0,0.685608945330795
13,0,0.655135131612116
13,0,0.6694711264298887
13,0,0.6226269499379762
14,0,0.63252427383345
14,0,0.6397011857859942
14,0,0.6399464826194607
14,0,0.6113004787844054
15,0,0.5752102933367904
15,0,0.6058620597634997
15,0,0.5773536751464922
15,0,0.5761966614090667
16,0,0.6375927578429786
16,0,0.5534667141583501
16,0,0.568247374223203
16,0,0.5523511402460993
17,0,0.5328057986132952
17,0,0.5360293862771015
17,0,0.5163341991755427
17,0,0.5172979083596444
18,0,0.5260227559780588
18,0,0.4988959826985184
18,0,0.5102372893265316
18,0,0.49163255460408267
19,0,0.4757037843976702
19,0,0.4661847967274335
19,0,0.4936322065032258
19,0,0.46474471019238844
20,0,0.4782856319631849
20,0,0.4543010860073323
20,0,0.43987323252522215
20,0,0.47392670110780366
21,0,0.4476522858045539
21,0,0.43028609180937005
21,0,0.4422768202363228
21,0,0.45380247673209834
22,0,0.40785610128422173
22,0,0.4081133147891687
22,0,0.44594528358809804
22,0,0.41164793104541547
23,0,0.40453751293980345
23,0,0.4158396477601966
23,0,0.391967522246497
23,0,0.4057261180512759
24,0,0.4561539286253404
24,0,0.40233462471134807
24,0,0.37418375757275796
24,0,0.3778469757157929
25,0,0.39223688992918754
25,0,0.3735765279555807
25,0,0.3849236813126778
25,0,0.3610208007145901
26,0,0.36407444945403505
26,0,0.37181118860536694
26,0,0.36254016386002913
26,0,0.3294015888656889
27,0,0.36714852586084484
27,0,0.3395955745054751
27,0,0.3234067811649673
27,0,0.3534015061295762
28,0,0.36521537419484584
28,0,0.3326384774884399
28,0,0.3262121242528059
28,0,0.33829174175554394
29,0,0.3209521660999376
29,0,0.3072332323205714
29,0,0.32030799893700346
29,0,0.33468507199871295
30,0,0.3092106778402718
30,0,0.2962258303043794
30,0,0.3113871630357236
30,0,0.282648645493449
31,0,0.34279327946049826
31,0,0.28301530681094345
31,0,0.2818451827886153
31,0,0.2894522608542929
32,0,0.2857826872139561
32,0,0.2860605814019028
32,0,0.2967140860095316
32,0,0.31128488237760504
33,0,0.29393445411506963
33,0,0.26838679642093427
33,0,0.27479128022583166
33,0,0.2949476874604517
34,0,0.49273596795237795
34,0,0.2720655169414014
34,0,0.24806482846639594
34,0,0.2821715832973013
35,0,0.25329810274498804
35,0,0.26319138325598773
35,0,0.2485202912773405
35,0,0.2581876805242227
36,0,0.28029399380391956
36,0,0.24105573628021745
36,0,0.25534701180093144
36,0,0.23662784361109443
37,0,0.2571848886353629
37,0,0.2383635558035909
37,0,0.24533448277079328
37,0,0.2650495877071303
38,0,0.2457801029086113
38,0,0.21926624251871693
38,0,0.2557814784195958
38,0,0.23592393860525016
39,0,0.25375979256873227
39,0,0.2318470803450565
39,0,0.2232661361292917
39,0,0.24941222035155006
40,0,0.47590399153378543
40,0,0.25247576376613307
40,0,0.2410497955825864
40,0,0.2301557543022292
41,0,0.23769585058397177
41,0,0.21657573614193468
41,0,0.23107430947070218
41,0,0.21879111215168115
42,0,0.22208818793296814
42,0,0.22884440893421368
42,0,0.21635568217963588
42,0,0.22545277996330845
43,0,0.22734859312067227
43,0,0.22275183213000394
43,0,0.22150571355406118
43,0,0.19533030658352132
44,0,0.24004853258327563
44,0,0.19753383495369736
44,0,0.2064628065848837
44,0,0.19871101634843008
45,0,0.19784055057228828
45,0,0.21666704893720393
45,0,0.21263250206806222
45,0,0.2042856449071242
46,0,1.9629856104753456
46,0,1.0292316772499863
46,0,0.9219142855430136
46,0,0.7511851824059779
47,0,0.6335760878056896
47,0,0.5778324871647115
47,0,0.5551443227699825
47,0,0.5317942311569136
48,0,0.5234187932647004
48,0,0.491374777287853
48,0,0.48088841718070363
48,0,0.4578933867872978
49,0,0.4512330993097656
49,0,0.44013829194769566
49,0,0.4170814758660842
49,0,0.41814571497391684
50,0,0.40589940852048445
50,0,0.40355062545562276
50,0,0.39365771716954756
50,0,0.3812207172111589
51,0,0.7228537785763643
51,0,0.48130272724190537
51,0,0.41345358837623986
51,0,0.37391520580466914
52,0,0.3539562888291417
52,0,0.370738896788383
52,0,0.33618522420221447
52,0,0.33262671043678205
53,0,0.32374653706745227
53,0,0.3292059095538392
53,0,0.3094488963180659
53,0,0.3077460457475818
54,0,0.3008512951889817
54,0,0.2838596677293583
54,0,0.3069663692493828
54,0,0.30352688565546154
55,0,0.27373576863687865
55,0,0.28455826275202695
55,0,0.26727290907684637
55,0,0.2676725272013217
56,0,0.2579762880899468
56,0,0.267821806425951
56,0,0.25961664638348986
56,0,0.2737256522689547
57,0,0.27313289137519137
57,0,0.2505279344563581
57,0,0.25377341481495874
57,0,0.2353624503831474
58,0,0.2470790865469952
58,0,0.23940040688125455
58,0,0.22659324307222756
58,0,0.24229745946976602
59,0,0.23178888522848792
59,0,0.2328121519210387
59,0,0.23063053008244963
59,0,0.21190509793101525
60,0,0.20988073306424276
60,0,0.23013683819040961
